num	zipcode	name
1585.0	27002	Alfoz
76.0	9011	Alfoz de Bricia
2466.0	39001	Alfoz de Lloredo
2201.0	9907	Alfoz de Quintanadueñas
103.0	9012	Alfoz de Santa Gadea
16491.0	41007	Algaba
285.0	24002	Algadefe
6075.0	7004	Algaida
1252.0	41008	Algámitas
1433.0	11003	Algar
48.0	19016	Algar de Mesa
498.0	46028	Algar de Palancia
2436.0	18012	Algarinejo
22.0	16013	Algarra
6625.0	29005	Algarrobo
826.0	29006	Algatocín
122368.0	11004	Algeciras
27305.0	46029	Algemesí
422.0	25015	Algerri
20767.0	28009	Algete
1106.0	46030	Algímia d'Alfara
247.0	12008	Algimia de Almonacid
14219.0	46031	Alginet
5504.0	11005	Algodonales
135.0	49006	Algodre
80.0	19017	Algora
3513.0	3012	Algorfa
3040.0	25016	Alguaire
9965.0	30007	Alguazas
1351.0	3013	Algueña
685.0	4010	Alhabia
3757.0	4011	Alhama de Almería
964.0	50020	Alhama de Aragón
5703.0	18013	Alhama de Granada
22691.0	30008	Alhama de Murcia
983.0	13010	Alhambra
42531.0	29007	Alhaurín de la Torre
26436.0	29008	Alhaurín el Grande
9941.0	18014	Alhendín
158.0	19018	Alhóndiga
761.0	10017	Alía
323.0	44017	Aliaga
634.0	16014	Aliaguilla
338577.0	3014	Alicante/Alacant
214.0	4012	Alicún
458.0	18015	Alicún de Ortega
569.0	24003	Alija del Infantado
285.0	25017	Alins
496.0	43010	Alió
13.0	19019	Alique
1751.0	10018	Aliseda
22.0	42016	Aliud
22078.0	21002	Aljaraque
243.0	6009	Aljucén
357.0	20006	Alkiza
1574.0	33001	Allande
6348.0	32001	Allariz
124.0	44021	Allepuz
10201.0	33002	Aller
879.0	31011	Allín/Allin
939.0	31012	Allo
553.0	44022	Alloza
21.0	44023	Allueva
6922.0	25019	Almacelles
1840.0	29009	Almáchar
5069.0	13011	Almadén
1326.0	41009	Almadén de la Plata
391.0	13012	Almadenejos
54.0	19020	Almadrones
8907.0	13013	Almagro
178.0	42017	Almajano
132.0	42018	Almaluez
24224.0	2009	Almansa
603.0	24004	Almanza
1687.0	10019	Almaraz
401.0	49007	Almaraz de Duero
425.0	16015	Almarcha
1927.0	29010	Almargen
612.0	42019	Almarza
37.0	26012	Almarza de Cameros
7482.0	46032	Almàssera
27383.0	12009	Almassora
302.0	25020	Almatret
5438.0	42020	Almazán
60.0	42021	Almazul
269.0	12010	Almedíjar
489.0	13014	Almedina
2350.0	14004	Almedinilla
328.0	18016	Almegíjar
414.0	49008	Almeida de Sayago
3401.0	25021	Almenar
233.0	42022	Almenar de Soria
6388.0	12011	Almenara
23.0	47008	Almenara de Adaja
303.0	37027	Almenara de Tormes
135.0	37028	Almendra
1207.0	6010	Almendral
322.0	45011	Almendral de la Cañada
33669.0	6011	Almendralejo
848.0	21003	Almendro
234.0	16016	Almendros
6415.0	41010	Almensilla
199237.0	4013	Almería
260.0	46033	Almiserà
22.0	50021	Almochuel
201.0	4014	Almócita
5873.0	13015	Almodóvar del Campo
386.0	16017	Almodóvar del Pinar
8093.0	14005	Almodóvar del Río
3885.0	29011	Almogía
1284.0	19021	Almoguera
16.0	44018	Almohaja
1782.0	10020	Almoharín
2473.0	46034	Almoines
549.0	50022	Almolda
234.0	50023	Almonacid de la Cuba
