,num,zipcode,name,latitude,longitude,geohash,geohash_5,geohash_6,population_bucket,population_bucket_label
2282,3138.0,32026,Coles,39.5266741,-88.2184999,dp12,dp12b,dp12be,"(1000, 5000]",4
2283,358.0,5061,Colilla,40.6467972,-4.765996,ezhx,ezhx5,ezhx5x,"(100, 500]",2
2284,8512.0,39023,Colindres,43.3949637,-3.449786,eztw,eztwc,eztwc7,"(5000, 10000]",5
2285,548.0,25077,Coll de Nargó,42.1739087,1.3161338,sp2z,sp2zv,sp2zvv,"(500, 1000]",3
2286,148.0,5062,Collado de Contreras,40.8879156,-4.9288373,ezk2,ezk2x,ezk2xg,"(100, 500]",2
2287,237.0,10065,Collado de la Vera,40.0573294,-5.7209445,ez5g,ez5gv,ez5gvu,"(100, 500]",2
2288,27.0,5063,Collado del Mirón,40.5527439,-5.3535524,ezhn,ezhnw,ezhnwn,"(0, 100]",1
2289,130.0,40059,Collado Hermoso,41.0385114,-3.918265,ezm1,ezm1q,ezm1qy,"(100, 500]",2
2290,7456.0,28046,Collado Mediano,40.6943707,-4.0247212,ezjp,ezjps,ezjps2,"(5000, 10000]",5
2291,64263.0,28047,Collado Villalba,40.6431496,-3.9930128,ezjp,ezjpj,ezjpjn,"(50000, 100000]",7
2292,97.0,34061,Collazos de Boedo,42.6193852,-4.4832119,ezsf,ezsf3,ezsf3y,"(0, 100]",1
2293,4726.0,8069,Collbató,41.570256,1.8285814,sp3k,sp3k3,sp3k3x,"(1000, 5000]",4
2294,172.0,43045,Colldejou,41.0991567,0.8875766,sp29,sp29u,sp29u1,"(100, 500]",2
2295,398.0,8070,Collsuspina,41.8260718,2.174353,sp3t,sp3tc,sp3tcq,"(100, 500]",2
2296,3488.0,29043,Colmenar,36.9053728,-4.3368078,eysc,eyscv,eyscvq,"(1000, 5000]",4
2297,175.0,37109,Colmenar de Montemayor,40.3992434,-5.956276,ez5v,ez5vb,ez5vb6,"(100, 500]",2
2298,8462.0,28043,Colmenar de Oreja,40.1074198,-3.3871634,ezjs,ezjs4,ezjs4v,"(5000, 10000]",5
2299,1936.0,28042,Colmenar del Arroyo,40.4179997,-4.1972768,ezjj,ezjjb,ezjjbm,"(1000, 5000]",4
2300,53389.0,28045,Colmenar Viejo,40.6587726,-3.7659722,ezjr,ezjr6,ezjr63,"(50000, 100000]",7
2301,9473.0,28044,Colmenarejo,40.5607257,-4.0165248,ezjn,ezjns,ezjnsx,"(5000, 10000]",5
2302,1291.0,18051,Colomera,37.36901,-3.712395,eytk,eytke,eytked,"(1000, 5000]",4
2303,204.0,17055,Colomers,42.0841561,2.9870811,sp6p,sp6p7,sp6p7v,"(100, 500]",2
2304,3220.0,33019,Colunga,43.4851194,-5.2706728,ezsr,ezsr2,ezsr2h,"(1000, 5000]",4
2305,123.0,22090,Colungo,42.1716508,0.0648286,sp2p,sp2pc,sp2pcm,"(100, 500]",2
2306,278.0,25163,Coma i la Pedra,42.17449855,1.5817023533792938,sp3p,sp3pg,sp3pgv,"(100, 500]",2
2307,1320.0,29044,Comares,36.8494448,-4.2480998,eysc,eyscx,eyscxk,"(1000, 5000]",4
2308,2126.0,39024,Comillas,43.3855344,-4.2901505,ezsy,ezsyy,ezsyy6,"(1000, 5000]",4
2309,3814.0,29045,Cómpeta,36.832836,-3.9747057,eyt1,eyt1t,eyt1t9,"(1000, 5000]",4
2310,427.0,25161,Conca de Dalt,42.23106145,1.056532916775912,sp8b,sp8b0,sp8b0p,"(100, 500]",2
2311,86.0,40060,Condado de Castilnovo,41.250994750000004,-3.7448828316195772,ezm6,ezm6d,ezm6dv,"(0, 100]",1
2312,1428.0,9109,Condado de Treviño,42.71630475,-2.7053316727175587,ezw5,ezw54,ezw542,"(1000, 5000]",4
2313,11.0,19095,Condemios de Abajo,41.2190644,-3.1075391,ezmf,ezmf3,ezmf3r,"(0, 100]",1
2314,106.0,19096,Condemios de Arriba,41.2158797,-3.1256136,ezmf,ezmf2,ezmf2z,"(100, 500]",2
